raw_press(ADC), avg_press(ADC), zeroed_press(ADC), stones_press(#), time(ms)
2870, 2876, 219, 493.024048, -
2880, 2875, 218, 489.372314, -
2876, 2875, 218, 489.372314, -
2875, 2875, 218, 489.372314, -
2875, 2875, 218, 489.372314, -
2877, 2875, 218, 489.372314, -
2877, 2875, 218, 489.372314, -
2880, 2876, 219, 493.024048, -
2876, 2876, 219, 493.024048, -
2874, 2875, 218, 489.372314, -
2880, 2875, 218, 489.372314, -
2874, 2875, 218, 489.372314, -
2877, 2876, 219, 493.024048, -
2878, 2876, 219, 493.024048, -
2879, 2876, 219, 493.024048, -
2876, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2878, 2876, 219, 493.024048, -
2874, 2876, 219, 493.024048, -
2878, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2878, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2878, 2877, 220, 496.696167, -
2878, 2877, 220, 496.696167, -
2883, 2877, 220, 496.696167, -
2874, 2877, 220, 496.696167, -
2879, 2877, 220, 496.696167, -
2876, 2877, 220, 496.696167, -
2875, 2877, 220, 496.696167, -
2880, 2877, 220, 496.696167, -
2877, 2877, 220, 496.696167, -
2878, 2877, 220, 496.696167, -
2871, 2877, 220, 496.696167, -
2878, 2877, 220, 496.696167, -
2875, 2877, 220, 496.696167, -
2879, 2877, 220, 496.696167, -
2877, 2877, 220, 496.696167, -
2880, 2877, 220, 496.696167, -
2877, 2877, 220, 496.696167, -
2879, 2877, 220, 496.696167, -
2875, 2877, 220, 496.696167, -
2877, 2877, 220, 496.696167, -
2877, 2877, 220, 496.696167, -
2883, 2877, 220, 496.696167, -
2879, 2877, 220, 496.696167, -
2880, 2877, 220, 496.696167, -
2875, 2877, 220, 496.696167, -
2879, 2877, 220, 496.696167, -
2883, 2877, 220, 496.696167, -
2880, 2877, 220, 496.696167, -
2875, 2877, 220, 496.696167, -
2878, 2877, 220, 496.696167, -
2871, 2877, 220, 496.696167, -
2871, 2877, 220, 496.696167, -
2878, 2877, 220, 496.696167, -
2874, 2877, 220, 496.696167, -
2871, 2877, 220, 496.696167, -
2874, 2876, 219, 493.024048, -
2870, 2876, 219, 493.024048, -
2875, 2876, 219, 493.024048, -
2879, 2876, 219, 493.024048, -
2878, 2876, 219, 493.024048, -
2874, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2880, 2876, 219, 493.024048, -
2878, 2876, 219, 493.024048, -
2878, 2876, 219, 493.024048, -
2867, 2875, 218, 489.372314, -
2877, 2875, 218, 489.372314, -
2876, 2875, 218, 489.372314, -
2876, 2875, 218, 489.372314, -
2879, 2875, 218, 489.372314, -
2879, 2875, 218, 489.372314, -
2874, 2875, 218, 489.372314, -
2871, 2875, 218, 489.372314, -
2879, 2875, 218, 489.372314, -
2875, 2875, 218, 489.372314, -
2880, 2876, 219, 493.024048, -
2878, 2876, 219, 493.024048, -
2876, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2879, 2876, 219, 493.024048, -
2876, 2876, 219, 493.024048, -
2874, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2881, 2876, 219, 493.024048, -
2874, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2875, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2879, 2876, 219, 493.024048, -
2875, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2879, 2876, 219, 493.024048, -
2879, 2877, 220, 496.696167, -
2882, 2877, 220, 496.696167, -
2880, 2877, 220, 496.696167, -
2871, 2877, 220, 496.696167, -
2875, 2877, 220, 496.696167, -
2880, 2877, 220, 496.696167, -
2875, 2877, 220, 496.696167, -
2875, 2876, 219, 493.024048, -
2880, 2877, 220, 496.696167, -
2879, 2877, 220, 496.696167, -
2876, 2877, 220, 496.696167, -
2877, 2877, 220, 496.696167, -
2874, 2877, 220, 496.696167, -
2874, 2876, 219, 493.024048, -
2879, 2877, 220, 496.696167, -
2875, 2877, 220, 496.696167, -
2874, 2876, 219, 493.024048, -
2875, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2875, 2876, 219, 493.024048, -
2879, 2876, 219, 493.024048, -
2880, 2876, 219, 493.024048, -
2878, 2876, 219, 493.024048, -
2876, 2876, 219, 493.024048, -
2874, 2876, 219, 493.024048, -
2876, 2876, 219, 493.024048, -
2877, 2876, 219, 493.024048, -
2878, 2876, 219, 493.024048, -
2880, 2876, 219, 493.024048, -
2876, 2876, 219, 493.024048, -
2881, 2876, 219, 493.024048, -
2879, 2876, 219, 493.024048, -
2875, 2876, 219, 493.024048, -
2875, 2876, 219, 493.024048, -
2874, 2876, 219, 493.024048, -
2885, 2877, 220, 496.696167, -
2878, 2877, 220, 496.696167, -
2880, 2877, 220, 496.696167, -
2877, 2877, 220, 496.696167, -
2881, 2877, 220, 496.696167, -
2869, 2877, 220, 496.696167, -
2873, 2877, 220, 496.696167, -
2880, 2877, 220, 496.696167, -
2875, 2877, 220, 496.696167, -
2876, 2877, 220, 496.696167, -
2873, 2877, 220, 496.696167, -
